Driver_Key,Driver_ID,Name,Age,City,Experience_Years,Average_Rating,Active_Status
67,167,Glenn Schultz,33,Los Angeles,17,4.8,Active
68,168,Andrew Dunn,25,Los Angeles,19,4.8,Active
69,169,Jacqueline Porter,56,Miami,9,4.5,Active
70,170,Erik Greene,37,Chicago,20,5,Inactive
71,171,Catherine Gonzalez,43,Los Angeles,19,4.5,Active
72,172,William Richards,36,Miami,1,4.8,Inactive
73,173,Sharon Thomas,43,Miami,8,4.9,Inactive
74,174,Eric Gonzalez,44,New York,12,5,Active
75,175,Erica Roberts,49,Miami,20,5,Inactive
76,176,Brett Guzman,59,Miami,14,4.6,Inactive
77,177,Charles Guerrero,58,San Francisco,9,4.7,Active
78,178,Jeffery Williams,30,Chicago,20,4.6,Inactive
79,179,Johnathan Shah,52,New York,14,4.8,Inactive
80,180,Ray Clarke,51,Los Angeles,15,4.9,Inactive
81,181,Deanna Clarke,28,San Francisco,18,4.9,Inactive
82,182,Edward Gonzalez,58,Miami,19,5,Active
83,183,Ashley Burke,37,San Francisco,19,4.8,Inactive
84,184,Nathaniel Smith,34,Miami,2,4.4,Inactive
85,185,Diane Harmon,34,Los Angeles,4,4.8,Active
86,186,Christopher Franco,37,New York,20,4.8,Inactive
87,187,Catherine Levine,43,Miami,1,4.3,Inactive
88,188,Molly Bell,47,Los Angeles,17,4.6,Active
89,189,Christopher Garcia,59,San Francisco,19,4.9,Inactive
90,190,Michelle Rhodes,29,San Francisco,20,4.2,Active
91,191,Angel Sharp,59,Miami,11,4.2,Inactive
92,192,Andrew Weaver,55,Miami,14,4.7,Inactive
93,193,Jason Adams,44,Los Angeles,11,4.3,Active
94,194,Jill Patterson,53,San Francisco,18,4.8,Inactive
95,195,Kathleen Soto,31,Chicago,9,4.4,Active
96,196,Stephen Ryan,54,Miami,9,4.8,Inactive
97,197,Michael Shields,49,Los Angeles,4,4.4,Active
98,198,Taylor Stephenson,58,Chicago,3,4.8,Inactive
99,199,Monica Copeland,37,San Francisco,10,4.1,Inactive
100,200,Amy Guzman,36,New York,20,4.3,Active
